Código de barras;Curva;Preço concorrente;Melhor concorrente;Comparação;Preço oferta;Nome;Link concorrente
7891010793463;B;8.69;DROGAL;DROGAL;8.84;ABSORVENTE SEMPRE LIVRE ESPECIAL ADAPSUAVE C/ABAS LV16 PG14 ;https://www.drogal.com.br/absorvente-externo-sempre-livre-especial-adapt-suave-com-abas-16-unidades/p
7509546666990;C;24.55;DROGAL;DROGACENTRO;21.93;ANTISSEPTICO BUCAL COLGATE TOTAL 12 GENGIVA SAUDAVEL 500ML;https://www.drogal.com.br/enxaguante-bucal-colgate-total-12-gengiva-reforcada-500ml/p
7891010974312;C;16.59;DROGAL;DROGAL;31.57;ANTISSEPTICO BUCAL LISTERINE COOL MINT REF SUAVE S/ALC 500ML;https://www.drogal.com.br/antisseptico-bucal-listerine-cool-mint-refrescancia-suave-500ml/p
6932159610608;C;16.9;DROGARAIA;DROGACENTRO;9.39;BATOM ULTRA MATTE CM359 RR8521359 MELU;https://www.drogaraia.com.br/batom-ultra-matte-melu-by-ruby-rose-cm359-3-8g-976080.html
7899706159173;C;97.5;DROGARAIA;DROGARAIA;102.88;CERAVE CREME HIDRATE 200G;https://www.drogaraia.com.br/cerave-creme-hidratante-200g-771283.html
7899706159333;D;64.39;DROGAL;DROGAL;99.79;CERAVE LOCAO LIMPEZA HIDRATANTE 200ML;https://www.drogal.com.br/locao-de-limpeza-cerave-hidratante-pele-normal-a-seca-200ml/p
7891150055193;C;13.69;DROGAL;DROGAL;21.23;CONDICIONADOR DOVE NUTRICAO OLEO MICELAR 200ML;https://www.drogal.com.br/condicionador-dove-brilho--oleo-micelar-200ml/p
7891150037489;C;11.29;DROGAL;DROGAL;18.0;CONDICIONADOR SEDA HIDRATACAO ANTI-NOS 325ML;https://www.drogal.com.br/condicionador-seda-joias-da-natureza-hidratacao-anti-nos-325ml/p
7891150101586;D;14.89;DROGAL;DROGAL;19.73;CONDICIONADOR SEDA TOQUE DE SEDA 250ML;https://www.drogal.com.br/condicionador-seda-amino-silk-complex-toque-de-seda-250ml/p
7891150049895;C;3.35;DROGAL;DROGACENTRO;2.94;CREME DENTAL CLOSEUP TRIPLE MENTA 90G;https://www.drogal.com.br/creme-dental-closeup-tripla-protecao-menta-70g/p
7891024132647;C;18.55;DROGAL;DROGAL;21.34;CREME DENTAL COLGATE SENS.PRO ALIVIO PRO-ARGIN REGULA 110G;https://www.drogal.com.br/creme-dental-para-sensibilidade-colgate-sensitive-pro-alivio-original-110g/p
7891037744509;C;6.89;DROGAL;DROGAL;7.21;CREME DENTAL LIQUIDO CLOSE-UP FRESH;https://www.drogal.com.br/creme-dental-em-gel-close-up-liquifresh-ice-100g/p
7908458320608;C;28.99;DROGAL;DROGAL;43.19;CREME PENTEAR DEFINICAO NATURAL 1KG;https://www.drogal.com.br/creme-para-pentear-salon-line-definicao-natural-1kg/p
7898623952737;D;15.79;DROGARAIA;DROGARAIA;18.29;CREME PENTEAR SALON LINE COND MEL CACHOS INT 300ML;https://www.drogaraia.com.br/creme-para-pentear-sos-cachos-mel-cachos-intensos-salon-line-300g-862831.html
7506306233362;C;9.99;DROGAL;DROGAL;15.23;DESODORANTE AXE AEROSOL ANTITRANSPIRANTE URBAN 152ML/90G;https://www.drogal.com.br/desodorante-antitranspirante-axe-urban-invisible-antimarks-152ml/p
7891350037807;C;8.99;DROGAL;DROGAL;10.19;DESODORANTE BOZZANO AEROSOL CARVAO ATIVADO 72HS 150ML;https://www.drogal.com.br/desodorante-antitranspirante-aerossol-masculino-bozzano-power-protection-150ml/p
7891350038613;C;14.99;DROGAL;DROGACENTRO;13.76;DESODORANTE BOZZANO AEROSOL CLINICAL CLEAN 94G/150ML;https://www.drogal.com.br/desodorante-aerossol-clinical-bozzano-clean-masculino-150ml/p
7791293051659;C;29.95;DROGAL;DROGACENTRO;22.32;DESODORANTE DOVE AEROSOL FEM BODY LAVENDER/CAMOMILE 150ML;https://www.drogal.com.br/desodorante-corporal-aerossol-para-peitos-coxas-pes-e-mais-dove-all-body-deo-lavanda-camomila-150ml/p
75076719;C;31.29;DROGAL;DROGACENTRO;27.1;DESODORANTE DOVE CREME MEN+CARE STICK INVISIBLE DRY 45G;https://www.drogal.com.br/desodorante-dove-mencare-stick-invisible-dry-72h-tecnologia-hidratante-45g/p
75076696;C;31.29;DROGAL;DROGACENTRO;27.06;DESODORANTE DOVE STICK ANT COMFORT PROT MEN+CARE 45G;https://www.drogal.com.br/desodorante-dove-mencare-stick-comfort-protection-72h-tecnologia-hidratante-45g/p
7896044953562;C;12.89;DROGAL;DROGAL;15.46;DESODORANTE GIOVANNA BABY AEROSOL FEM CANDY 150ML;https://www.drogal.com.br/desodorante-antitranspirante-aerossol-giovanna-baby-candy-150ml/p
7896049526150;C;11.89;DROGAL;DROGACENTRO;11.71;DESODORANTE HERBISSIMO TWIST NEUTRO 45G;https://www.drogal.com.br/desodorante-antitraspirantre-em-creme-herbissimo-twist-neutro-45g/p
4005900429643;C;17.29;DROGAL;DROGACENTRO;13.94;DESODORANTE NIVEA AER FEM INVIS FRESH BLACK&WHITE  92G/150ML;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-nivea-invisible-black-white-fresh-150ml/p
4005808631322;C;13.71;DROGAVEN;DROGAVEN;13.94;DESODORANTE NIVEA AEROSOL FEM DERMO CLAREADOR 90G/150ML;https://www.drogaven.com.br/desodorante-nivea-dermo-clareador-3-em-aerossol-150ml/p
7791293032498;D;12.99;DROGAL;DROGAL;20.37;DESODORANTE REXONA AEROSOL FEM BAMBOO 90G/150ML;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-rexona-bamboo-72h-150ml/p
7791293051550;C;26.95;DROGAL;DROGACENTRO;20.1;DESODORANTE REXONA AEROSOL FEM BODY FRESH CITRUS 150ML;https://www.drogal.com.br/desodorante-corporal-aerossol-para-peitos-coxas-pes-e-mais-rexona-all-body-deo-fresh-citrus-150ml/p
7791293022567;C;17.99;DROGARAIA;DROGARAIA;18.71;DESODORANTE REXONA AEROSOL V8 90G/150ML;https://www.drogaraia.com.br/desodorante-antitranspirante-aerosol-rexona-men-v8-150ml-631525.html
7791293032481;C;12.99;DROGAL;DROGAL;20.37;DESOSORANTE REXONA AEROSOL WOMAN INVISIBLE 90G/150ML;https://www.drogal.com.br/desodorante-antitranspirante-aerosol-rexona-invisible-72h-150ml/p
7898632472776;C;19.19;DROGARAIA;DROGARAIA;23.98;ESFOLIANTE CORPO E ROSTO MARACUJA LABOTRAT 150G;https://www.drogaraia.com.br/esfoliante-corpo-e-rosto-labotrat-maracuja-150g-943142.html
7899706239189;C;5.55;DROGARAIA;DROGARAIA;7.87;ESMALTE COLORAMA VEM VAI TER FINI;https://www.drogaraia.com.br/colorama-esmalte-cremoso-colecao-fini-vem-vai-ter-fini-8ml.html
7891182016292;C;17.99;DROGAL;DROGAL;23.78;KOLESTON LOURO CINZA ESCURO 61;https://www.drogal.com.br/tinta-de-cabelo-koleston-louro-cinza-escuro-61/p
7896061951619;C;5.49;DROGAL;DROGAL;7.95;LENCO SOFTYS C/50;https://www.drogal.com.br/lencosdepapelsofty-s50unidades/p
7891010568764;C;19.95;DROGAL;DROGACENTRO;17.8;LENCO UMEDECIDO J&J BABY HORA DO SONO C/48;https://www.drogal.com.br/lencos-umedecidos-johnsons-baby-hora-do-sono-48-unidades/p
7891150074484;D;22.05;DROGAL;DROGAL;27.78;LOCAO HIDRATANTE DOVE BABY HORA DE DORMIR 200ML;https://www.drogal.com.br/locao-hidratante-relaxante-baby-dove-hora-de-dormir-200ml/p
7891350026627;C;24.49;DROGAL;DROGAL;31.89;LOCAO POS BARBA BOZZANO NIGHT BLUE 100ML;https://www.drogal.com.br/locao-facial-pos-barba-bozzano-night-blue-100ml/p
7899706129602;D;78.15;DROGAL;DROGAL;86.25;NORMADERM LIMPEZA PROFUNDA GEL 150ML;https://www.drogal.com.br/gel-de-limpeza-facial-vichy-normaderm-150g/p
7894650009567;B;22.29;DROGAL;DROGACENTRO;19.67;OFF FAMILY SPRAY 170ML;https://www.drogal.com.br/repelente-off-family-spray-170ml/p
7894650005712;B;23.89;DROGAL;DROGACENTRO;20.28;OFF! KIDS LOCAO LV 200 PAG 117ML;https://www.drogal.com.br/locao-repelente-off-kids-200ml/p
7896902212596;D;36.52;DROGARAIA;DROGARAIA;44.66;PROTETOR FACIAL TOQUE SECO BEGE MEDIO FPS50 60G SUNLESS ;https://www.drogaraia.com.br/protetor-solar-sunless-facial-fps-50-base-medio-60g-667720.html
7899706185769;C;53.49;DROGAL;DROGACENTRO;52.58;PROTETOR HIDRATANTE + VITAMINA C COM COR MEDIA;https://www.drogal.com.br/protetor-hidratante-facial-garnier-uniform-matte-fps50-media-40g/p
7891010099725;C;37.85;DROGARAIA;DROGACENTRO;20.34;SABONETE FACIAL NEUTROGENA DEEP CLEAN 80G;https://www.drogaraia.com.br/neutrogena-deep-clean-sabonete-barra-facial-80g-791277.html
7896512911858;C;9.57;DROGARAIA;DROGACENTRO;7.97;SABONETE GRANADO GLIC.BEBE LAVANDA 90G;https://www.drogaraia.com.br/sabonete-infantil-granado-bebe-lavanda-90g-632250.html
7891150024793;D;2.39;DROGARAIA;DROGARAIA;3.39;SABONETE REXONA ANTIBACTERIANO ORCHID 84G;https://www.drogaraia.com.br/rexona-sabonete-em-barra-antibacteriano-agua-de-rosas-84g.html
7891150091467;D;12.89;DROGAL;DROGACENTRO;11.34;SHAMPOO SEDA PREBIOT+BIOTINA 325ML;https://www.drogal.com.br/shampoo-seda-prebioticos-biotina-325ml/p
7891033535040;C;39.59;DROGAL;DROGAL;47.41;SHAMPOO SIAGE LISO INTENSO 250ML;https://www.drogal.com.br/shampoo-eudora-siage-liso-intenso-250ml/p
7899706181754;C;79.79;DROGARAIA;DROGACENTRO;69.76;SOLAR DEFENDER FPS60 MEDIA 40G;https://www.drogaraia.com.br/protetor-solar-facial-l-039oreal-paris-fps60-uv-defender-media-40g-947130.html
7891010253288;C;42.65;DROGAL;DROGACENTRO;35.52;SUNDOWN POS SOL GEL 140G;https://www.drogal.com.br/gel-hidratante-pos-sol-sundown-95-aloe-vera-140g/p
7896020160052;B;13.15;DROGAL;DROGAL;14.69;TENYS PE BARUEL TRADICIONAL 100G;https://www.drogal.com.br/tenys-pe-baruel-po-100g-orig/p
7908615062471;C;19.99;DROGAL;DROGACENTRO;19.84;TINTURA COR&TON SEM AMONIA LOURO ESCURO 6.0;https://www.drogal.com.br/coloracao-alta-duracao-corton-0-amonia-louro-escuro-60/p
7899706237932;C;36.99;DROGAL;DROGACENTRO;32.58;TONALIZANTE IMEDIA EXCELLENCE S/AMONIA LOURO ESCURO 7U;https://www.drogal.com.br/tintura-imedia-excellence-loreal-paris-sem-amonia-7u-louro-universal/p
7891150094406;C;40.85;DROGAL;DROGACENTRO;34.54;TRESEMME OLEO FINALIZA B LAMELAR 60ML;https://www.drogal.com.br/oleo-finalizador-tresemme-brilho-lamelar-60ml/p
